"Target","M25079_s_at","HG1428.HT1428_s_at","hum_alu_at","D86974_at","M26602_at","D49824_s_at","Z84721_cds2_at","L06499_at","M26311_s_at","X00274_at","J04617_s_at","X57351_s_at","Z19554_s_at","AFFX.HSAC07.X00351_M_at","M63438_s_at","M11147_at","M19507_at","HG2887.HT3031_at","Z12962_at","M13560_s_at","M27891_at","V00594_s_at","X00437_s_at","AFFX.HUMGAPDH.M33197_5_at","M96326_rna1_at","AFFX.M27830_5_at","X00351_f_at","Z70759_at","M27783_s_at","M91036_rna1_at","M20203_s_at","L19779_at","Y00787_s_at","X56681_s_at","AFFX.HSAC07.X00351_5_at","M14483_rna1_s_at","M87789_s_at","Y00433_at","V00599_s_at","S71043_rna1_s_at","X82240_rna1_at","X03689_s_at","AFFX.HSAC07.X00351_3_at","M10277_s_at","M17886_at","M69043_at","J04456_at","AFFX.HUMRGE.M10098_5_at","X80822_at","D79205_at","M17733_at","AFFX.M27830_M_at","D64142_at","M12886_at","Z48950_at","HG4319.HT4589_at","X55668_at","M33600_f_at","S82297_at","D32129_f_at","AFFX.HUMGAPDH.M33197_M_at","J03077_s_at","D13413_rna1_s_at","U49869_rna1_at","J00105_s_at","X01677_f_at","D21261_at","M21186_at","U01317_cds4_at","J04990_at","AFFX.HUMGAPDH.M33197_3_at","U14970_at","L38941_at","M94880_f_at","Z48501_s_at","HG658.HT658_f_at","M21005_at","L06797_s_at","HG3576.HT3779_f_at","J04164_at","X69654_at","AFFX.HUMRGE.M10098_3_at","X58529_at","M14328_s_at","X17206_at","X98482_r_at","D78361_at","X68277_at","L20941_at","M13792_at","M28130_rna1_s_at","U06155_s_at","Z23090_at","M84711_at","U43901_rna1_s_at","L20688_at","X14008_rna1_f_at","Z28407_at","M19045_f_at","HG2815.HT4023_s_at","X78992_at","U14973_at","S73591_at","M21119_s_at","M17885_at","M34516_at","M84526_at","L26247_at","J03801_f_at","HG3549.HT3751_at","M24194_at","X76223_s_at","M16279_at","U12404_at","X04347_s_at","M11353_at","AFFX.HUMRGE.M10098_M_at","M62831_at","M19283_at","HG2917.HT3061_f_at","X67247_rna1_at","J03592_at","U51240_at","M77232_rna1_at","X04500_at","HG2915.HT3059_f_at","D63874_at","U14971_at","M23613_at","D23660_at","M33680_at","X15183_at","X12447_at","M11722_at","M18000_at","X17042_at","HG33.HT33_at","V00594_at","S54005_s_at","U78027_rna3_at","X52851_rna1_at","M81757_at","Z49148_s_at","U05259_rna1_at","L04483_s_at","HG3364.HT3541_at","U52101_at","U14968_at","X17093_at","M13934_cds2_at"
"ALL",9233,10351,45815,15874,453,42904,4876,36200,422,21598,35196,4137,6824,27768,-207,6288,490,-21984,29371,24864,-65,630,103,6339,627,6418,20818,26442,108,-4,-212,19693,741,22228,19541,13624,-267,8149,15140,-120,2302,22889,24477,21240,13566,7285,-26,57,25158,25069,27495,27707,19135,137,15447,13327,-333,9885,23488,8540,5199,1228,13120,14551,18109,12869,5305,6387,152,772,9045,17547,11852,12103,4197,16456,934,6199,7377,7,4596,-337,13407,3495,21262,20398,11954,14056,4272,4142,335,21098,12475,13721,19768,9762,803,10078,912,7925,9129,28844,6124,-33,18486,-977,-323,7905,663,23575,20417,70,7126,10718,10493,7794,-238,8786,5870,7159,15372,5907,11027,10442,987,6022,5726,12934,7925,11541,3005,5021,3232,8700,15087,33,14862,-2339,9349,5776,4627,20016,10341,12968,18665,17086,306,12994,4700,12229
"ALL",10164,15736,20958,19660,-70,26196,5289,28622,58,25969,22123,29136,15865,13271,622,3412,-49,-21296,20737,20769,68,4143,-405,10756,827,92,9499,27044,169,223,-360,1033,200,8316,9857,7442,39,8741,2809,770,-111,21349,17671,18237,23159,2210,1856,-175,20106,28306,10723,2029,1046,1316,4337,18352,-332,14307,11477,14975,10207,2152,13752,14339,23728,17954,6652,1878,401,650,21238,17910,16904,10349,7696,18764,-251,310,10460,3226,9516,-371,1073,8754,26504,12738,6137,767,461,1462,166,22267,7592,18701,17254,10798,480,6605,541,9376,2400,23397,3560,64,25880,-878,-524,3402,443,19238,17509,-27,3706,12138,5828,9013,-304,1455,7440,6946,23731,6167,3004,14654,223,6078,3358,7975,7016,12003,2881,2970,2540,4614,18982,1269,16269,-1292,5624,9890,8877,18686,13413,1813,22936,18443,3326,12840,9530,15423
"ALL",1,17323,25880,10744,6365,37529,8808,28380,2542,15333,21202,12046,14536,20794,959,10245,989,-10481,20122,10706,250,2913,-2,15439,344,207,20485,23935,1162,2693,315,4481,1012,16600,15363,15337,2879,9176,12425,735,116,26646,20166,18759,21466,9757,179,-55,19165,30820,20812,2582,7696,265,13803,13667,449,4095,15662,20656,14345,2998,16646,23350,23444,17102,5790,3113,16028,550,17735,12360,16685,19089,5775,16180,2780,11483,3925,2188,4609,-313,5681,3733,20899,10852,13871,4298,4866,2208,222,21475,1418,6181,13481,11579,2635,14149,4259,8075,11261,24690,3587,966,17117,324,-124,16136,4057,29047,20975,360,3903,17724,11265,13379,-341,12700,5996,10929,21466,8816,10820,10503,324,9427,7074,7029,6355,12489,5451,6848,3560,4357,16934,1045,22868,-1371,6745,17803,7405,19153,15468,4750,19003,16397,4713,10495,572,13773
"ALL",43221,38430,41275,22039,50,28123,30140,37774,182,10841,31014,15382,4196,12511,29121,6421,706,-7861,31224,11885,107,3669,197,7760,851,170,11122,23012,277,7989,-48,2904,197,4240,6858,6526,30010,12652,7607,7346,212,17450,18311,18494,28736,1128,901,-18,26326,25794,10944,851,3967,1094,4910,16498,88,6409,21541,6253,9582,1952,13829,13367,19730,17048,4284,13617,5434,92,16248,21270,15022,8428,3559,10313,256,2372,4545,4660,4396,-233,1458,8269,13804,10158,15873,1611,2422,3681,16,16798,4152,12303,11463,11782,983,8506,1040,10204,1464,30741,4677,271,23838,5936,203,3627,926,23523,21877,-100,4509,17489,14560,11063,-189,4465,7176,6369,22186,8361,6392,13064,716,6430,8670,13402,9519,14407,3250,7251,5593,7369,22279,2450,12850,-346,5972,7489,6539,18576,21190,2559,25597,26019,1420,11963,8140,14888
"ALL",8147,14219,11195,14286,-183,23203,11194,15390,284,18580,11603,19976,9256,14738,295,10431,199,-16945,14170,14219,-177,1417,-824,14640,350,1491,17100,15906,22,3711,-104,5431,96,13870,11636,8049,-36,16129,15174,156,18727,20585,15303,14924,15850,4069,458,1453,13574,25231,18163,2967,5801,141,13017,19330,-184,11783,8530,14299,10675,3384,20940,21604,20401,12692,3303,9346,5535,420,17262,20378,24273,12933,8867,14833,149,11886,8353,700,7166,362,6074,7093,21018,14716,13777,3650,3904,7756,0,12534,7803,20114,17185,18263,298,12515,203,17896,5916,17741,9468,96,21619,691,-140,8052,271,24225,18472,22,2049,21144,12436,16017,632,7188,11195,9162,22377,10661,7528,18386,2294,7217,11744,11892,14338,15324,6031,16859,4410,7216,19196,1537,18447,-1448,8489,16816,13949,23491,16106,5632,18616,19944,2887,18141,6279,15725
"ALL",8228,13851,21777,28849,-514,27112,6279,29500,92,16424,21930,22337,21601,23936,1225,3219,1293,-26775,20698,10003,394,2216,-326,10093,217,12616,21039,20680,22,169,-453,3984,198,10450,17374,20555,-173,5916,6927,1114,7264,16231,21605,20474,21651,5845,366,10309,19666,26823,18928,13679,5813,72,4300,16063,-235,5654,14032,8321,10127,1132,23371,12139,16531,16599,12104,5390,5,873,19092,14126,15941,7754,4466,14432,122,740,4762,2079,5917,3806,2735,5446,25043,23252,9419,12905,2077,4813,-309,23567,56,12895,18411,16949,2081,9543,2421,9761,2205,26818,3822,126,25946,796,-190,3456,2272,18166,23118,-353,6682,15572,8399,11629,6028,9950,9701,3947,22334,7007,3665,7997,236,3578,7533,10070,8758,12658,8630,3718,6154,6603,21626,690,13260,-4276,5169,6991,8241,17078,13573,9288,24289,22178,4095,10029,3508,15956
"ALL",10769,8950,28991,29050,5483,20192,9586,31076,525,14339,25143,8271,14049,17778,122,4639,18,-7764,23075,9170,-125,1903,-247,10171,699,281,14173,22490,383,6917,225,3844,3,5948,9902,20320,239,6410,11042,414,1374,11645,20434,19669,25335,2842,6858,104,22430,19968,16383,765,6989,-82,5730,19359,-28,5715,12444,3004,17294,446,14780,15311,9680,20265,5017,9337,95,302,21971,19739,15475,4895,6803,7299,787,5251,4162,151,13366,-109,7243,10161,29493,10989,14290,3088,1623,4714,150,19473,1704,12136,13831,15223,1167,13628,1141,6480,3520,22643,3816,158,29601,408,-111,4037,1286,24625,27668,-75,2611,15882,15041,11175,53,3398,8097,2498,16837,15895,6092,14731,4,2438,8218,14375,10369,20619,11962,8160,6937,1487,19983,1183,14833,-1447,7753,8437,6826,17134,15874,3627,21386,23304,2265,16624,2789,16093
"ALL",2221,36663,42401,21633,49432,22347,21457,36329,27402,18871,33094,19205,4917,16775,5540,8790,1213,-13905,32731,10557,-96,1687,-213,12489,2235,584,16751,32421,7110,27106,6598,3966,93,7275,13309,10484,4100,12237,9114,800,6821,20573,14547,18056,28810,1062,221,307,27118,15910,23712,1365,3997,134,7638,11569,2444,8412,19914,3112,16066,2045,12448,22926,15027,20779,1913,7328,16277,4278,19426,14066,11359,6634,3677,6965,17840,8420,8208,6482,13208,-182,6607,5576,24522,12975,14537,3841,4646,3922,-28,23601,3170,13951,15590,16145,4451,12766,4329,8804,2348,23323,7715,4107,21650,1932,-120,6057,4516,22065,29721,-55,2966,13064,12838,9545,-62,3701,4228,3307,15919,2757,7117,11095,848,3115,4675,9530,6129,14193,4283,4595,3930,7540,16364,7064,12915,-1148,5242,9323,5997,20275,14455,3115,27668,20885,228,16388,3896,13756
"ALL",27982,15447,27924,6549,1403,35402,9920,29313,615,24948,22621,5065,7027,25052,1611,5841,-60,-9619,21749,19354,502,1098,-29,20411,330,30139,20648,24114,157,389,-188,4431,16,3283,20371,19318,1599,7156,19321,793,7212,19982,22296,19391,20811,2208,163,223,20213,18872,21110,9827,6269,69,4162,13639,-38,10032,16922,11040,21334,1395,13750,16798,22256,21288,1885,6617,474,542,21580,15594,12584,14143,2094,13668,825,2266,8570,214,10616,254,3394,5179,24754,11581,16701,1719,3251,1850,109,17966,1681,13567,18675,10724,1529,12469,1424,8119,1936,22548,2793,4,24142,180,-38,5202,1286,18734,23279,-91,5070,12656,15477,9870,53,2487,5130,5485,15050,9047,9766,6945,240,5228,6619,9357,6777,17933,4247,2530,5188,8791,17342,155,13477,-1120,7525,8026,6693,21235,12249,11999,19042,20889,-19,16400,7728,13158
"ALL",26258,21484,21229,7958,199,34741,13372,22116,98,14532,17850,11163,11956,15420,471,9981,-146,-5353,18852,13481,78,880,-98,16760,621,15215,14065,17659,104,2882,-63,21084,149,12009,10761,10778,1513,7838,7872,48,6884,18374,17384,14731,19288,4443,496,-115,15857,21328,13661,12263,6037,47,7460,19630,1,5203,12804,6515,14799,2192,18062,8897,18546,17303,4853,7014,240,291,17467,22210,13706,11601,6116,9530,262,2362,6474,1087,14464,12,3995,6730,27985,11303,10893,7754,3457,4662,80,17739,21076,11786,20619,13836,310,22412,550,6239,1756,21184,2447,13,26524,776,-31,6723,555,26205,20815,-351,2615,16121,12980,6069,-238,17413,5604,5330,19690,10380,11375,13258,2162,5401,3351,16864,7565,18328,6024,7518,4178,12307,21999,1327,17030,-2213,7194,17343,6314,21880,18740,4200,21384,20176,1662,13034,4812,15244
